entity:pedigree_id	FamilyID	FatherID	MotherID	Population	Sex	Superpopulation
HG04152	BD51	0	0	BEB	1	SAS
HG04153	BD51	0	0	BEB	2	SAS
HG04155	BD52	0	0	BEB	1	SAS
HG04156	BD52	0	0	BEB	2	SAS
HG04157	BD52	HG04155	HG04156	BEB	1	SAS
HG04158	BD53	0	0	BEB	1	SAS
HG04159	BD53	0	0	BEB	2	SAS
HG04160	BD53	HG04158	HG04159	BEB	1	SAS
HG04161	BD54	0	0	BEB	1	SAS
HG04162	BD54	0	0	BEB	2	SAS
HG04164	BD55	0	0	BEB	1	SAS
HG04171	BD57	0	0	BEB	2	SAS
HG04173	BD58	0	0	BEB	1	SAS
HG04174	BD58	0	0	BEB	2	SAS
HG04175	BD58	HG04173	HG04174	BEB	2	SAS
HG04176	BD59	0	0	BEB	1	SAS
HG04177	BD59	0	0	BEB	2	SAS
HG04180	BD60	0	0	BEB	2	SAS
HG04182	BD61	0	0	BEB	1	SAS
HG04183	BD61	0	0	BEB	2	SAS
HG04184	BD61	HG04182	HG04183	BEB	2	SAS
HG04185	BD62	0	0	BEB	1	SAS
HG04186	BD62	0	0	BEB	2	SAS
HG04187	BD62	HG04185	HG04186	BEB	1	SAS
HG04188	BD63	0	0	BEB	1	SAS
HG04189	BD63	0	0	BEB	2	SAS
HG04191	BD64	0	0	BEB	1	SAS
HG04192	BD64	0	0	BEB	2	SAS
HG04193	BD64	HG04191	HG04192	BEB	1	SAS
HG04194	BD65	0	0	BEB	1	SAS
HG04195	BD65	0	0	BEB	2	SAS
HG04198	IT220	0	0	ITU	1	SAS
HG04199	ST203	HG04100	HG04099	STU	1	SAS
HG04200	IT220	0	0	ITU	2	SAS
HG04202	IT222	0	0	ITU	2	SAS
HG04204	ST006	HG03679	HG03642	STU	1	SAS
HG04206	HG04206	0	0	ITU	1	SAS
HG04209	IT217	0	0	ITU	2	SAS
HG04210	ST186	0	0	STU	1	SAS
HG04211	IT223	0	0	ITU	1	SAS
HG04212	IT223	0	0	ITU	2	SAS
HG04214	IT226	0	0	ITU	2	SAS
HG04215	ST006	HG03679	HG03642	STU	1	SAS
HG04216	IT227	0	0	ITU	2	SAS
